Text,Polarity,Agreement,Subjectivity,Confidence,Irony
"No heat in the room and it was snowing outside.No basic amenities such as bath soap, shampoo. Very small room. Food mediocre at best. Water for the shower was warm. The management did switch our room although it was still cold.",NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC
"Our St. Ann's group from LaVernia, TX, USA really loved our 6 night stay in Bethlehem region. The meals were great and always a source for much discussion on the various salads served and other region foods and arabic coffee. Staff was attentive to our needs. My roommate and I had to more to another room when we found ourselves on first night with a door that wouldn't lock. We always got our wake up calls and they responded quickly on our needs. You have to call when you return to your room after touring to get the A/C turned back on and they are quick to do it. The hotel is in an ideal spot. Oh, you can purchase inexpensive t-shirts there and I liked their selection of postcards- ie. with mosaics.",P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC
"I recommend this hotel for anybody, it is on the main street very close to Bethlehem. Clean and breakfast is average. The hotel prices are valuable compared to other places in Bethlehem.Very hospitable atmosphereRoom are new and well furnished. There is a big gym across the street free for hotel guests.Amazing terraces and big screens for big events.Parking is a bit difficult since you have to park on the main street and bar a bit expensive. Enjoy",P,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC
This hotel is in the Beit Jala area of Bethlehem. It is a good 15 minute walk to the main attractions such as Manger Square and The Church of the Nativity but it is easy to pick up a taxi. The hotel is clean and comfortable and the rooms are a good size. We only had breakfast one morning - the was not a vast choice of food but it was all fresh and nicely presented. Wed had no problem with noise from other rooms or lack of wifi. The staff were all very pleasant and helpful.,P,AGREEMENT,SUBJECTIVE,92,NONIRONIC
This is very Good hotel in aspects except: Room is very crumpy. There is no maneuverability between two beds or dressing table. they are dumping you in one 9' X 10' room. In spite of everything is good I am very much disappointed with room size.,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC
"The Angel Hotel is located in the neighborhood, so you get a nice feel for local conditions. Since staying here is likely a step above what the locals have, it's hard to complain.Having said that, the walls are very thin and if you speak in a normal voice, open and close drawer, flush the toilet, you will be heard in adjoining rooms. The rooms were reasonably clean and well kept. The bed was comfortable. Our room had a very cramped bathroom where you had to close the door to use the sink. Others, I understand, did not have this situation.Breakfast and dinner buffets were varied and delicious. Be prepared to be awakened daily by the Muslim call to prayer early in the morning.I'm not sure how this hotel would measure up to others in the area, but it is a viable option when travelling in the area.",P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC
"Great family hotel in the Christian area of Bethlehem; stayed 6-days...great ""jumping off point"" for those doing Jerusalem and the Dead Sea area. Rooms, bathroom, and common areas are well kept and clean. No frills...but that is ok as you are likely on a pilgrimage tour and you come back for a quick meal, a bit of socializing and then to bed ready for the next day. A small bar down stairs; dinning room on top floor; service & desk responsive to all needs; breakfast/dinners were good...no complaints. There are a few ""convenience"" store (family run) around the corner along the main street...along with a few small restaurants and coffee shops nearby if you want to break away from the tour group. A 15-minute walk along the same road takes you into the hustle-bustle of the city with a few small markets, clothing stores, bakery, coffee shop (etc). Strongly recommend you buy your snacks & water from the small convenience stores. Botttom-line - a good choice for independent travelers and tour groups.",P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC
"This hotel was a delightful retreat and very near all the sites in Bethlehem.Rooms were excellent, comfortable and clean. Breakfast was healthy and very good too.Highly recommend this place ifYou see all that Bethlehem has to offer whilst escaping the crowds.",P+,AGREEMENT,SUBJECTIVE,98,NONIRONIC
"We recently traveled to the Holy Land with our pastor and a group of approximately 20 from our church. In addition to our pilgrimage to Israel, we planned to exchange our wedding vows on the first night of our trip. When we arrived at the Angel Hotel, we spoke with Wilma who was delighted to help us in any way possible. Even though we had not made any previous arrangements with the hotel, they were all extremely gracious and accommodating to our every need. That evening, we had a small candlelight service with communion in their upper conference room overlooking the city lights of Bethlehem. Everything was so beautiful and special - what a perfect memory! Thank you so much Wilma and may God bless you, your staff, and the Angel Hotel for all your hospitality.",P,AGREEMENT,SUBJECTIVE,98,NONIRONIC
"The Angel Hotel is unlike any other inn that I have ever known. Hospitality, service, excellence, comfort and service are woven into its DNA, making it an environment of exceptional beauty and peace. It is the place at which its privileged guests are welcomed to the Angel family and made entirely at home. If only everyone visiting the Holy Land could stay here. For the privileged few who can, welcome to your refuge of loveliness and peace in the Middle East.",P,AGREEMENT,OBJECTIVE,100,NONIRONIC
"Great hotel! Lovely rooms which are very well looked after and clean. I spent a week at the Angel and couldn't have found a better place to stay. The food is great, and I really enjoyed relaxing in the bar area. I couldn't fault the hotel or location. Loved it. However, what made my experience at the Angel so good was the service. The whole team are just amazing. First class. And made my stay wonderful. Would definitely book again, and hope my return visit will be soon!",P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC
My wife and I spent 3 night the Angel Hotel and Wilma and her staff were very customer oriented and the breakfast and dinners were prepared very well. The Hotel does get a bit noisy due to the floors being tile and their is nothing to absorbe the noise that enters the room. Usually around11 pm the noise will stop and you might her a few passing cars at night. Very Clean and Safe location for this Hotel,P,DISAGREEMENT,OBJECTIVE,94,NONIRONIC
"An extraordinary family hotel with beautiful view to all beit-jala.Clean, simple and perfect to stay in family or business trip.The hotel is located in the middle of beit-jala and near all holy places.",P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC
"We stayed for 2 nights in this hotel in Bethlehem as part of a tour group. The managers were very nice and helpful. There was some street noise, but not overwhelming. The dining area for breakfast and dinner is on the top floor and very nice and the food was good quality. The only drawbacks were the towels and the soap - not only were the towels small but so rough they could peel off the first layer of your skin. And the soap bar was very tiny - bring your own soap and washcloth if you plan to stay here",P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC
"I spent two nights at the Angel hotel while in Israel in December . The electricity went off several times in the evenings while I was trying to shower or doing something in the room. It left the room and bathroom totally dark. Very scary. Alarms went off in the hallways in the early morning hours causing everyone to get up and wonder into the hallways to see if there was a fire. Luckily there wasn't but we were never given an explanation as to why they continued to alarm. The alarms continued to ring for over 15 minutes, very irritating. There were no washcloths and the towels were rough, not soft at all. When I asked for a washcloth I was told by staff to use a towel. The room was small and the bedding was nothing to brag about. I would not stay again.",N,AGREEMENT,SUBJECTIVE,98,NONIRONIC
"If you want a flavor of the city this is the place to stay. Very safe and nice people. You are right in the heart of the Holy City, close to everything. The place is not new but is very very clean, it is run by a family and the food is great. Serves breakfast and evening meal. The only thing I could find wrong was the towels were not soft. That being said it was a great place to stay our room was clean, cool and the beds were very comfortable. Loved my stay.",P,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC
"Stayed for a 1 week business trip. This Hotel is a very reasonably priced, good base for work or holidays in the area. Bethlehem felt completely safe. The staff are nice and helpful. The rooms were really clean and well equipped, with free WiFi throughout the Hotel. It has a great roof terrace and nice courtyard sitting area linked to the bar. We ate out in the evenings so I cannot comment on the quality of the dinner served. Breakfast is served in the top floor restaurant and consists mainly of buffet style hot and cold food. All good and fresh, but with room for improvement (decent coffee, jams and juices would make all the difference for me).",P,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC
"This hotel is extremely good: It is clean and well furnished, and the staff are professional, helpful and friendly. The rates are also very reasonable. There is a small courtyard seating area where guests can sit comfortably with drinks available from the hotel's small bar.",P,AGREEMENT,SUBJECTIVE,98,NONIRONIC
"Stayed in this hotel overnight during a 2 day excurtion to Israel from Taba, Egypt. We arrived in the evening - a group of 45 people and in less than 10 minutes everyone was checked in and in less than half an hour we were having dinner which was exellent by the way. In the morning we had tasty breakfast and enjoyed the view from the open terrace of the restaurant. And bed was oh so comfortable! I gave the hotel a 4 rating because of only one reason. Room was not idealy clean.",P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC
"What a haven this hotel is. It's a Christian family run hotel in a great spot for ease of visiting key sites in the Holy Land. The hotel offers clean, comfortable accommodation that is just what you need after sight seeing/fact finding in this complex part of the world. The buffet breakfast and dinner offers something for everyone with a wide array of salads and fresh fruit and vegetables. There is a bar selling locally produced beer and wine as well as everything else you could ask for. It's greatest jewel is the incredible friendliness and helpfulness of the staff, you would rarely come across a more amazingly helpful staff team. I would highly recommend a stay there, for those people put off by the fact that Bethlehem is under Palestinian control and therefore behind the wall do not let this stop you. In fact it's a very good reason to go and see for yourself what the situation actually is like.",P,AGREEMENT,SUBJECTIVE,98,NONIRONIC
The family owned Angel Hotel in Bethlehem is fine for a short stay. It is clean and comfortable. The location is convenient and the staff was very welcoming. There is a small bar behind the lobby desk.,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC
"When on a pilgrimage, you eschew the luxuries of a 5 star hotel. What you want is a clean, comfortable place to stay, close to the various Holy Sites in the area. Angel is a fine place for this. The hotel is located in a convenient location in the city, has clean comfortable rooms with a nice bath. A small bar is located on the ground floor, while the dinning room is located on the 4th. Meal service at breakfast and dinner is buffet style, with a wide variety of salads and a choice of several hot dishes, including meat, fish and chicken served with vegetables, rice and potatoes. I cannot comment on lunch as we ate that meal on the road. One must also put up with the vagaries of the free internet opperating intermittantly in the rooms. A computer is available in the lobby for your use. Located on a main road, it is about 250' to a small convenience store that gives excellent prices on snack food and soda and is well worth the trip rather than paying the hotel prices. I also went further afield to purchase an electrical adapter and felt entirely comfortable doing so during the day. Again it is a facillity providing for basic necessities without any frills. Be advised this hotel is used heavily by a Christian tour company during their busy periods from January through May and room availability may be limited.",P,AGREEMENT,SUBJECTIVE,98,NONIRONIC
"Smart and welcoming reception, a great start to our trip to Israel .Great staff ,Great hotel.. very clean , good filling breakfast.well located. rooms very nice and the bed is very comfortable ,,Thank you for a wonderful stay.",P+,AGREEMENT,SUBJECTIVE,98,NONIRONIC
"outside is plain and lobby is small. But, the rooms are clean, well kept, and comfortable. Buffet was not elaborate but the taste was exceptional. Staff is fabulous. It seems like a family run business. I highly recommend this hotel.",P,AGREEMENT,SUBJECTIVE,100,NONIRONIC
"On arrival the public rooms were excellent and the staff very attentive and helpful. It is run like a family concern, the bedrooms are excellent - modern and clean. The food very good, varied and very tasty.",P,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC
Excellent hotel. Very clean. Great breakfasts. Well located. Beit Jala is a beautiful town that's definitely worth a visit.,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC
"Best hotel after Jacir Palace Intercontinental, new hotel, rooms are medium size but comfortable for 2 people, new furniture, cable TV, the works for a 4 star hotel. Ask for a room at a higher floor with a view to the center of the city. Distance to city center around 50 min walking. There is a church close a very nice and small St George Church.",P,AGREEMENT,SUBJECTIVE,98,NONIRONIC
"The hotel was very clean and cozy. The rooms were very comfortable with nice view. The staff was very nice, friendly and helpful, always trying their best to fullfil our needs. When you asked them for something you could be sure it will be done for 120% at least. The food was delicious, we had many things to choose from and the restaurant staff made sure nothing was ever missing and everything was always fresh, with the right temperature. Would definitely love to go back!!! Also free internet connection was a big +.",P,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC
"Angle Hotel is the best hotel in beit jalla , it will make you feel just like home",P,AGREEMENT,SUBJECTIVE,100,NONIRONIC
"Impressing I was very chocked over the treatment and sevice at this hotel. This hotel is great.You know when you come to a hotel and you feel that everything will be a disaster. I had that feeling.Now I am so glad that I found this hotel, this wont be my last stay at this hotel. As I have a big project going on in the Bethlehem district. I can be calm over that this hotel lives up to my expectations. Clean and good service, the staff is so helpful. 100 % ther for you. The food is very good.Everything they serv is homemade which I really like. One bad thing is that ther is not sp much to do around the hotel. But as I heard things are improving. I would warmly recommend this hotel to anybody coming to Bethlehem, See ya soon again Jens Mikelsen",P,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC
"we were there for a visit in bethlehem and the area. I was there with 5 other friends. we were 6 people and decided to take two rooms. 3 persons in each.they gave us the most far rooms in the resort. the rooms were old, and dirty, the sheets were torn and the beds where not comfortable. this was the most expensive amount of money we ever paid for a room in Bethlehem.I have to say we were there 3 years ago. same gang. and it was way better. I don't know what happened.anyway, we left the resort one day before the scheduled time because we were not satisfied.Breakfast was too poor and we didn't have enough.There were a Nigerian group in the resort at the same time with us and they were very noisy. they sang through the night and we couldn't sleep.a good thing to say about the place is the people in the reception. they were very helpful and informative.and the turkish cave, with hot sauna and shower. is a great experience.",N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC
"Excellent Palestinian hospitality...rooms were clean with plenty of towels and they already had a blow dryer, shampoo, and soap...just bring yr toothbrush and toothpaste. Was able to get wifi on the 4th floor, so my youngest was extremely happy.Some of the ladies went down to the turkish bath for a swim and to the spa and came back refreshed and rejuvenated.The restaurant was wonderful...some ppl were vegan and they made specially for them..just make sure when you tell them in advance when making arrangements. The staff was wonderful and so helpful...looking forward to our next visit.",P+,AGREEMENT,SUBJECTIVE,88,IRONIC
the Hotel is set in a nice environment. It has a large pool . interior heated pool and a Jacuzzi. The staff are very very friendly. Food also is good and the restaurant has a nice rustic / pleasant setting. The historical sites are just 15 minutes away. ,P,AGREEMENT,SUBJECTIVE,98,NONIRONIC
"As previously stated, this resort is a bit run down, not surprising due to it's location in the West Bank. However, the rooms are clean, the people are lovely and kind, it's a relaxing place, and of course good value.There are some nice walks around the complex, hilly scrubland but interesting and it is safe as could be, have no fear. The pool has many local day visitors with their kids but it is not a problem and it gives you a chance to meet the families. Food is average but fine. All in all a good value stay.",P,DISAGREEMENT,SUBJECTIVE,76,IRONIC
Calling this a resort would be like calling your local park Disneyland. The place looked like it had fallen on hard times. I wouldn't dare send a child on the water slides as they looked like they would fall apart at any moment. The rooms were a bit small but clean. The staff was friendly and the food was really good. Overall not a bad place to stay if you got a good rate.,P,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC
"PROS: The Turkish bath area is very unique and special. Breakfast is good with variety of Middle Eastern food choices. And the room is beautifully rustic. Staff are helpful in helping us with making phone calls to our taxi driver. CONS: The place is on the outskirt of town so make sure you communicate that clearly with your taxi driver. At night, the restaurant was so loud until past midnight. Music, people laughing and yelling made it impossible to sleep. The place is locked behind a gate. We did venture out walking on the nearby hill to experience life in the West Bank but could not go far. It did not feel very safe. The Turkish bath area was restricted for only certain time and segregated women from men by time. I believe this segregation is practiced widely in the Arab world. I ended up not being able to use it.Stayed on Christmas Eve 2011.",P,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC
"This was the find of the century when it comes to hidden gems..This rather bizzare hotel is situated on the outskirts of Bethlehem in the Palestinian Territories. I stayed there one night having found it on booking.com for around £45 ($70US). Its difficult to find and is down a dirt track on the edge of Bethlehem and a good 10 minute car journey from Manger Square at the centre of Bethlehem (you couldn't walk it). Also there is absolutely nothing else around here other than the hotel itself.But thats the only downside. I turned up to a set of electronic security gates. I was greeted by the security guard whilst another member of staff took my luggage and then parked my car. Real 5 star stuff this!Walked into reception and was given a free drink whilst they sorted my room key. I was escorted to my room along with a waiter who followed me with a pot of coffee for the room.The room itself was first class. Great air con. International satellite TV, a stunnig view of Bethlehem from the balcony, Huge bed. All for $70! Now this place does describe itself as a resort. It had a massive swimming pool with water slides, (no water in the pool though but im guessing its because it was winter) Saunas, turkish baths, childrens playgrounds etc.. But here is the bad news.Me and my two friends were the ONLY people staying there!And my $70 probably didnt even cover the cost of the electric lights they had on that evening.I think the main problem the resort has is first of all no locals are likely to stay there (although there was a great wedding party on in the bar that evening for a local family).Secondly most foreign tourists are bussed in and out of Bethlehem and do not spend the night there which is a great shame.So if you really want to see Bethlehem stay the night in the town and make sure you stay at the Murad. It needs your support and is really trying to make a go of things in a difficult area.(check out the Peace Wall 100 yards from the Hotel).Having said this I am guessing that its alot more buzzy in the height of the Summer. And I for one hope to find out because I am for sure going back for another stay at the quite incredibly cheap 5 star Murad.",NEU,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC
"The resort is a great place to spend one’s valuable time at. I visited the Murad Tourist Resort along with my family members last year. It was great. The experience is still fresh in our memories. The Hammam Turkish bath, the sauna, and the massage were very soothing. It relaxed my nerves. It is a great get away from the hectic city life back at home. The staffs out here are nice and offer a wonderful service. The food is excellent. The prices are highly reasonable and even if it had been pricey, the experience would be worth the money. I would love to visit this resort again with my family. The experience is fabulous!",P+,AGREEMENT,SUBJECTIVE,98,NONIRONIC
"This is a little gem of a hotel that goes beyond expectations with a superb hammam turkish bath and very friendly service. The staff here were superb and made us feel very relaxed and were very appreciative of actually having some tourists in their lovely hotel. Factilities were excellent, a little out of the way but with the West Bank being so inexpensive you dont mind having to get a cab to Manger Square where most of the acitivity is. Great value for money and definately stay again.",P+,AGREEMENT,SUBJECTIVE,96,NONIRONIC
"This place was an unexpected joy. it sports an Olympic size pool and a fantastic health spa dug into the mountainside. The Solar powered underground pool was one of the warmest i have experienced, with the turkish batth and sauna, together with the Arabic massage carried out inclusive with the room price. The food was good, but the staff were very friendly and helpful. Very nice place, and cheap for what you get. Slightly out of main Bethlehem though, but they have an arrangement for a local driver.",P,AGREEMENT,SUBJECTIVE,98,NONIRONIC
The worst resort i ever visited in my whole life and service was the worst servise i ever saw in my life. water games were broken and unsafe for children.On the phone they tell you that the ticket is 20 and when you arrive they take 30.on the phone they say that children under three years are not charged and when you arrive they tell you 20 for the child under in a rude manner and even you cannot discuss with them.for a salad i called the waiter 5 times and finally i went to get it.,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC
"The economic squeeze on Palestine continues to tighten (a law is even being promulgated which would ban visitors to Israel from staying a night in Palestine), so it's not fair to grade the Grand as though it were in Jerusalem or Tiberias; so I'll keep my criticisms to those things which could be rectified by management rather than cash. Firstly, the service is first-class: very friendly indeed, and caring of its customers. Main public facilities are excellent -- especially the large lobby area, the bar, the conference room, and third-floor restaurant. As everywhere in this region there is so much fresh fruit and veg that breakfast is a delight (although the hot offering -- sour beans and sausages -- won't be to everyone's liking). Oddly, the sixty-plus guests in the dining room served themselves coffee from a single jug on a warming plate -- it didn't last three minutes.Secondly, the location is ideal, right in the middle of the bustling narrow streets, and easy walking distance to the main tourist sights. The locals are immensely friendly. Thirdly, if you're a smoker (as I am) you'll be pleased to be able to get a smoking room and even to smoke in the lounge -- that won't sound like good news to non-smokers, but somehow the residual smell of tobacco doesn't linger (and most visitors go outside to smoke anyway).Given the pleasantness described above, my room was disappointing. On the plus-side It was a good size, with a very comfortable double bed; and there were electricity sockets aplenty. However, I had to physically move the TV to create a work-space; no bath plug, so no bath; an entrance door that wouldn't stay shut unless locked; coffee not replenished; the hot water took an unusually long time to come through. These are management lapses, not the consequence of diminished cashflow.However, all-in-all the establishment and its location were so charming that I'll be staying there again.",P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC
"As founder of Hike the Holy Land I had a group of 24 active travelers doing a 9 day Israel -Palestine tour and we stayed a night at this property. We loved it! It's very well appointed, the staff were fun and fantastic (we even did a Palestinian cooking class there !) , and it's walking distance to Manger Square / Church of the Nativity.We felt very safe at this hotel and in Bethlehem, Palestine. No trip to the Holy Land is complete with a stop at Bethlehem, but don't rush it and just make it a day trip, stay at the Grand Hotel Bethlehem, relax and immerse into the area... and you won't be sorry.",P+,AGREEMENT,SUBJECTIVE,92,NONIRONIC
"This is one of the worst experiences of my life. Don't stay here under any circumstances. The rooms are filthy, it stinks of raw sewage coming from the bathroom into the bedroom, the mattress feel like its 20 years old, the carpets and walls are badly stained, the staff are cocky and unhelpful and the area is seedy. The noise coming in from the street is unbearable. Avoid avoid avoid! ",N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC
"Bethlehem can be a scary place these days, but the desire to see the birthplace of Jesus is a strong motivator for many. We recently spent 4 days at The Grand Hotel in Bethlehem. Our trip from the Ben Gurion Airport required a van rather than a taxi for security reasons and since we were arriving late at night it was a bit of a jolt to find a dark deserted town with nobody on the street, something that is the status quo these days. The next day we began to see activity and enjoyed our tour of the area. The hotel was in a safe area and quite comfortable. Although some of our group, felt the sting of tear gas in their eyes, that was the most drama we experienced for which we were grateful. Food was good and plentiful.",P,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC
"The one downfall of this hotel is that you cannot book it online through Orbitz, travelocity, etc. But it is about a 5 to 7 minute walk to the Nativity Church. Once you walk in to the hotel you are greeted by the reception desk on the left side. There is a mexican restaurant called Mariachi on the right side of the lobby and it has excellent food. The atmosphere in the lobby and restaurant is friendly and relaxing, especially at night. Our room had a nice side view of the cityscape of Bethlehem. The hotel staff are very welcoming and hospitable. The room has a flat screen TV although there are about 8-11 channels to choose from and most are not in English. This hotel has wi-fi, just make sure you get the voucher code from the reception desk. There are plenty of outlets in the room and the beds Were great.I cannot rate the breakfast since I've been sleeping past breakfast times.",P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC
I have stayed in the hotel many times. Its a simple budget hotel. It is value for money. The hotel somehow closer to the Church of Nativity. Hotel staff are very helpful. I do Thank Mr. Hannah and many other staff for the assistance.,P,AGREEMENT,SUBJECTIVE,98,NONIRONIC
"Stayed here for 3 nights with a tour group. Basic room and ammenties like soap and shampoo. No hair dryer and electric kettle. Road to the hotel is very steep, if you're thinking of going for a walk. Family run hotel, very pleasant and eager to please. My room had a shower cubicle but no shelf to keep to keep your soap and shampoo :( very difficult to manage. Dining area is on the 6th floor.",P,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC
"Right in the middle of the town. Walking distance to the Nativity Basilica. Very clean, kind. We had breakfast and dinner included and it was buffet style, fresh and testy. Hotel is almost brand new, with all facilities, clean. Owner is is contantly arround to keep his eye on the quality of service. Very good experience!",P,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC
Friendly service. Food average. Rooms well maintained. Wifi available in the rooms too. Better in the lobby. Owners are very warm and friendly. No Shops close by. Mainly patronized by tour operators. Very quite inside the hotel.,P,AGREEMENT,SUBJECTIVE,92,NONIRONIC
"there is a big difference between both hotels, the Nativity Hotel is much bigger and has more facilities such as the garden and Al-Bostan restaurant,a very big bar and pool-tables,the lobby area is large ,meeting rooms also they have a garden , parking space , gym , and a new wing that is called the club rooms.",NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC
I have stayed in this hotel for minimum 3-4 times between 2008-2011 while I used to take lot Holyland tours.It is very popular among most of the tour operators.While I was staying the property looks a bit old.But the stay was very comfortable.The staff was very friendly and helpful. I remember one time their staff waited till 1130 pm for our group to arrive and have dinner since we got late at the border.The have free internet facility at the lobby even though only one PC was dedicated for it. Food was good with many varieties. The hotel is a little away from the market. But there is a small super market in walk able distance. I understand recently they had some renovations so that the guests can be more happy. Wishing them good luck in continuing the good service.,P,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC
Ok rooms terrible food be it breakfast lunch or dinner the hotel is more like a cheap motel what is disappointing is the service and food it was so bad that stray dogs will not eat it otherwise just to have a good nights sleep the place is ok but for sure would suggest to find something better and worth your money,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC
"This is a beautiful Hotel run by a Palestinian Arab Family, they are Christian but don't let that influence you. Mr Marzook the Patriach still takes a great interest in the overall running of the Hotel, All members of the staff are courteous and helpful. The rooms are spacious and clean.Free Wi Fi in the lobby.",P,AGREEMENT,SUBJECTIVE,98,NONIRONIC
"Location is the main reason choosing Nativity Bells Hotel in Bethlehem however indeed it is not the only reason...Beside an excellent location, 2 blocks from the church of Nativity the rooms are large, well equipped & well maintained, front office staff are helpful & friendly & meals are fine Bottom line, it is not a luxurious hotel but it's a great place to stay at!",P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC
I stayed with friends for 4 night. I have to say the staff is very welcoming. Bartender is very friendly. Breakfast and dinner is good choice at this place if you do not want to go out to explore local restaurants. My room was clean with very confortable bed. If I would travel again I will stay here again. They are doing another 2 floors with suites and very nice design so I will try to get to the new floor.,P,AGREEMENT,SUBJECTIVE,98,NONIRONIC
Very friendly family run hotel .... The family members are very cordial and courteous Decently maintained .. even in adverse conditions ...Good dinner and Breakfast ....  ...... Value for money ... For a night's stay OK hotel,P,DISAGREEMENT,OBJECTIVE,92,NONIRONIC
"We (my wife daughter and myself) visited Egypt, Israel and Jordan as part a 30 member group from Chennai India. We stayed in Nativity Hotel from 3rd to 6th nights of our tour for 4 nights. First of all the name is Nativity Hotel and not Nativity Bells hotel( I don’t know if there is a Nativity Bells hotel somewhere else in Bethlehem)Location wise the Hotel is situated on a busy road. The décor was impressive, the rooms and bathrooms were very big and spacious, free wifi was available in the lobby, the cleanliness of the hotel and rooms was amazing and to top it all there was a really fantastic departmental store within a stones throw away where you can get everything from bottled water, fresh breads,fresh cakes, sweets, fresh juices , cool drinks, ice creams etc etc at local prices not tourist prices. This store was a real Godsend for tourists like us who are forced to shell out huge amounts for savouring the local flavours. Next to this store is a textile store which also has a number of t shirts, and ready made garments at throw away prices. The only negative about this hotel was that the food menu for breakfast and dinner remained practically unchanged throughout the duration of our stay there resulting in a monotonous diet for us. We had some time leftover in the evening and decided to visit the shops near the Church of Nativity for some local food and shopping. A taxi ride costs roughly 20 shekels from the hotel. The prices of souvenirs and gift items in Bethlehem are almost half the rates compared with the shops in Jerusalem. I strongly advise you to buy all gift items and souvenirs at Bethlehem itself if you have a chance to do so. And I can tell you Bethlehem is a very safe place(at least at the time of my visit) to go around the town by night to do some last minute shopping. The people here are extremely friendly and respect tourists especially when you are accompanied by family. I want to inform you that most of the buses and hotels in Israel are wi fi enabled so if you have a good smartphone and the persons you want to contact are also having a smartphone, you can communicate via viber or other apps. No need to spend for an international calling card. To sum up Nativity Hotel is a very good choice to stay in Bethlehem and I am sure that you will thoroughly enjoy yourself if you choose to do so.",P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC
"Lovely family atmosphere with Mr Marzouka the patriarch in evidence graciously greeting all guests. Staff helpful and friendly. Unfortunately this guests stay was marred by building work which resulted in Jose, dust and nowhere to sit. Nice little place and sure the new roof restaurant will be great when finished but wait until then!",P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC
"We a group of 48 people ( Pilgrims ) From Vasai, Mumbai, India. Stayed in this hotel in the month of May. Personalised Service by owner family, Excellent Breakfast and stay. During the day always we were out. Dinner is also great. Only problem is, there no good shopping center within close locality, Yet, I strongly recommend this hotel for Holy Land Pilgrims.",P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC
"An excellent choice! I truly enjoyed our stay here. We had a great room overlooking the Shepherd's Field off our balcony and windows and out our right window we could see the spires of the Church of the Nativity. Room was excellent, staff was always helpful, breakfast was kept well stocked and fresh all the time. Just up the hill from the hotel is a small store, ATM, and a cut through that let's you walk right onto Star Street and a five minute walk to Nativity Square. The owners of the hotel (a Christian family) are almost always onsite and the father of the family will always take time to talk to you about life in Palestine as he grew up and then raised his family there as well",P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC
"I spent 4 nights at the Nativity Bells Hotel in September. I can recommend this hotel for its nice rooms and friendly service. There is construction noise during the day since the hotel is not finished. Floors 5-7 are being completed, so I recommend staying on the first or second floor if you're there during the day. Personally I like to nap in the afternoon, and this would not be possible on floors 3 or 4. There is some dust in the elevator and common areas due to the ongoing construction. The Bethlehem sights are about 10' away, which makes the hotel a convenient option. Since the hotel is not far from the shared taxi departure point it's a good base for visiting the West Bank. I went to Hebron, Ramallah, Jericho, and Herodium this way. Since the hotel caters to groups, try to get an end room or you are liable to be in the middle of lots of boring conversations going on right outside your door. Finally I will mention that the hotel is Christian owned and that Bethlehem has a significant Christian minority. However, I was treated well in Bethlehem and elsewhere in the West Bank by the entire population. Highly recommended!",P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC
"Hello, I am Carmen, from Romania! I had a great time during my stay at Nativity Hotel, due to the smiles, kindness, generosity and the professional services offered by the staff led by Mr. Nicola. The employees are Christians and they do their best to make the tourists feel well and share an unforgettable holiday. It is the best place, also for little money, anybody can buy!",P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC
"A good choise, near to Nativity Church, familly bussines hotel, cossy, helpful staff,rooms very spacious, good value for money.",P,AGREEMENT,SUBJECTIVE,100,NONIRONIC
"Spectacular and safe. The staff gave me a free room upgrade. Also, my luggage was lost on the way there and the staff was very helpful allowing me to use the phone and took several messages for me while I was out.",P,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC
